Player_Name,Kaggle_Match_Name,Player_Type,IPL_Team_2025,DEBUT,Total_Innings,Total_Runs,Total_Balls_Faced,Total_Minutes,Dismissals,Times_Not_Out,Batting_Average,Strike_Rate,Avg_Runs_Per_Innings,Avg_Balls_Per_Innings,Avg_Minutes_Per_Innings,Count_30_Plus,Count_50_Plus,Count_70_Plus,Highest_Score,Most_Fours_Innings,Most_Sixes_Innings,Total_Fours,Total_Sixes,Total_Boundaries,Boundary_Runs,Boundary_Percentage,Boundary_Frequency,Fours_Per_Innings,Sixes_Per_Innings,Four_to_Six_Ratio,Balls_Per_Four,Balls_Per_Six,Balls_Per_Boundary,Non_Boundary_Runs,Non_Boundary_Balls,Rotation_Strike_Rate,Estimated_Dot_Balls,Dot_Ball_Percentage,Runs_Std_Deviation,Runs_CV,Percentage_30_Plus,Percentage_50_Plus,Percentage_70_Plus,Conversion_30_to_50,Conversion_50_to_70,Percentage_Single_Digit,Percentage_Duck,Powerplay_Runs_old,Powerplay_Balls_old,Powerplay_SR_old,Powerplay_Contribution,Death_Overs_Runs_old,Death_Overs_Balls_old,Death_Overs_SR_old,Death_Overs_Contribution,Impact_Score,Powerplay_Runs,Powerplay_Balls,Powerplay_SR,Death_Overs_Runs,Death_Overs_Balls,Death_Overs_SR
Sam Curran,Sam Curran,All-Rounder,CSK,NO,27.0,528.0,405.0,712.0,22.0,5.0,24.0,130.37037037037038,19.55555555555556,15.0,26.37037037037037,4.0,2.0,0.0,63.0,6.0,4.0,43.0,18.0,61.0,280.0,53.03030303030303,15.061728395061728,1.5925925925925926,0.6666666666666666,2.388888888888889,9.418604651162791,22.5,6.639344262295082,248.0,344.0,72.09302325581395,68.0,16.899862825788755,16.39731059874743,83.85,14.814814814814817,7.407407407407407,0.0,50.0,0.0,37.03703703703704,4.545454545454546,6.0,7.0,85.71428571428571,1.1363636363636365,268.0,181.0,148.06629834254144,50.75757575757576,8.158288065843621,99.0,80.0,123.75,472.0,281.0,167.97153024911032
Shivam Dube,Shivam Dube,All-Rounder,CSK,NO,46.0,1308.0,860.0,1375.0,38.0,8.0,34.421052631578945,152.09302325581396,28.43478260869565,18.695652173913043,29.89130434782609,18.0,9.0,1.0,95.0,10.0,8.0,78.0,88.0,166.0,840.0,64.22018348623853,19.302325581395348,1.6956521739130437,1.9130434782608696,0.8863636363636364,11.025641025641026,9.772727272727272,5.180722891566265,468.0,694.0,67.43515850144092,174.0,20.232558139534884,21.91463455614692,77.07,39.130434782608695,19.565217391304348,2.1739130434782608,50.0,11.11111111111111,23.91304347826087,7.894736842105263,0.0,0.0,0.0,0.0,514.0,305.0,168.52459016393442,39.29663608562692,23.353553083923156,15.0,22.0,68.18181818181817,691.0,402.0,171.89054726368158
Vijay Shankar,Vijay Shankar,All-Rounder,CSK,NO,26.0,461.0,347.0,531.0,22.0,4.0,20.954545454545453,132.85302593659944,17.73076923076923,13.346153846153848,20.423076923076923,3.0,3.0,0.0,63.0,7.0,5.0,36.0,20.0,56.0,264.0,57.26681127982646,16.138328530259365,1.3846153846153846,0.7692307692307693,1.8,9.63888888888889,17.35,6.196428571428571,197.0,291.0,67.69759450171821,72.0,20.781300032020493,16.278962355894045,91.81,11.538461538461538,11.538461538461538,0.0,100.0,0.0,34.61538461538461,4.545454545454546,12.0,24.0,50.0,2.6030368763557483,109.0,92.0,118.47826086956522,23.644251626898047,7.066759033473731,70.0,83.0,84.33734939759037,609.0,365.0,166.84931506849315
Abishek Porel,Abishek Porel,WK-Batter,DC,NO,14.0,300.0,200.0,340.0,12.0,2.0,25.0,150.0,21.428571428571427,14.285714285714286,24.285714285714285,5.0,1.0,0.0,65.0,7.0,3.0,32.0,11.0,43.0,194.0,64.66666666666667,21.5,2.2857142857142856,0.7857142857142857,2.909090909090909,6.25,18.181818181818183,4.651162790697675,106.0,157.0,67.51592356687898,39.0,19.611111111111114,19.109861673670306,89.18,35.714285714285715,7.142857142857143,0.0,20.0,0.0,42.85714285714285,8.333333333333334,15.0,12.0,125.0,5.0,8.0,12.0,66.66666666666667,2.6666666666666665,5.142857142857142,76.0,53.0,143.39622641509433,62.0,39.0,158.97435897435898
Ashutosh Sharma,Ashutosh Sharma,All-Rounder,DC,NO,7.0,170.0,99.0,132.0,6.0,1.0,28.33333333333333,171.7171717171717,24.285714285714285,14.142857142857142,18.857142857142858,4.0,1.0,0.0,61.0,3.0,7.0,9.0,14.0,23.0,120.0,70.58823529411765,23.232323232323232,1.2857142857142858,2.0,0.6428571428571429,11.0,7.071428571428571,4.304347826086956,50.0,76.0,65.78947368421052,20.0,20.65095398428732,21.15588401772492,87.11,57.142857142857146,14.285714285714286,0.0,25.0,0.0,42.85714285714285,0.0,0.0,0.0,0.0,0.0,123.0,61.0,201.63934426229508,72.3529411764706,3.336219336219336,51.0,30.0,163.1313131313131,131.0,65.0,201.53846153846155
Axar Patel,Axar Patel,All-Rounder,DC,NO,39.0,669.0,499.0,829.0,26.0,13.0,25.73076923076923,134.0681362725451,17.153846153846153,12.794871794871796,21.256410256410252,6.0,2.0,0.0,66.0,5.0,5.0,47.0,33.0,80.0,386.0,57.69805680119581,16.03206412825651,1.205128205128205,0.8461538461538461,1.4242424242424243,10.617021276595745,15.12121212121212,6.2375,283.0,419.0,67.5417661097852,104.0,20.953017145401912,14.909443248347957,86.92,15.384615384615383,5.128205128205129,0.0,33.333333333333336,0.0,35.8974358974359,7.6923076923076925,0.0,0.0,0.0,0.0,279.0,192.0,145.3125,41.70403587443946,11.958877755511022,6.0,11.0,54.54545454545454,1104.0,726.0,152.06611570247935
Darshan Nalkande,Darshan Nalkande,All-Rounder,DC,NO,2.0,12.0,12.0,13.0,2.0,0.0,6.0,100.0,6.0,6.0,6.5,0.0,0.0,0.0,12.0,0.0,1.0,0.0,1.0,1.0,6.0,50.0,8.333333333333334,0.0,0.5,0.0,0.0,12.0,12.0,6.0,11.0,54.54545454545455,4.0,36.11111111111112,8.48528137423857,141.42,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.12,4.0,4.0,95.0,0.0,1.0,0.0
Donovan Ferreira,Donovan Ferreira,WK-Batter,DC,NO,1.0,1.0,3.0,23.0,1.0,0.0,1.0,33.333333333333336,1.0,3.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,33.333333333333336,1.0,62.96296296296296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,33.333333333333336,100.0,0.0033333333333333,0.0,1.0,31.666666666666668,1.0,3.0,33.33333333333333
Faf du Plessis,Faf du Plessis,Batter,DC,NO,58.0,2192.0,1511.0,2702.0,54.0,4.0,40.5925925925926,145.06949040370617,37.793103448275865,26.05172413793104,46.58620689655172,31.0,20.0,10.0,96.0,11.0,7.0,210.0,89.0,299.0,1374.0,62.68248175182482,19.788219722038384,3.6206896551724137,1.5344827586206895,2.359550561797753,7.195238095238095,16.97752808988764,5.053511705685619,818.0,1212.0,67.49174917491749,303.0,20.06029855136407,27.950305914711432,73.96,53.44827586206897,34.48275862068966,17.24137931034483,64.51612903225806,50.0,22.41379310344828,7.407407407407407,336.0,222.0,151.35135135135135,15.328467153284672,606.0,418.0,144.97607655502392,27.645985401459853,33.99228279969876,1818.0,1333.0,136.384096024006,766.0,447.0,171.36465324384787
Harry Brook,Harry Brook,Batter ,DC,NO,11.0,190.0,154.0,255.0,9.0,2.0,21.11111111111111,123.37662337662336,17.272727272727273,14.0,23.181818181818183,1.0,1.0,1.0,100.0,12.0,3.0,23.0,4.0,27.0,116.0,61.05263157894737,17.532467532467532,2.090909090909091,0.3636363636363636,5.75,6.695652173913044,38.5,5.703703703703703,74.0,127.0,58.267716535433074,44.0,29.07647907647908,28.719648009997996,166.27,9.090909090909092,9.090909090909092,9.090909090909092,100.0,100.0,54.54545454545455,33.333333333333336,47.0,48.0,97.91666666666669,24.73684210526316,0.0,1.0,0.0,0.0,2.770365997638725,91.0,75.0,121.33333333333334,74.0,37.0,200.0
Jake Fraser-McGurk,Jake Fraser-McGurk,Batter ,DC,NO,7.0,309.0,131.0,179.0,7.0,0.0,44.142857142857146,235.87786259541983,44.142857142857146,18.714285714285715,25.571428571428573,4.0,4.0,1.0,84.0,11.0,7.0,30.0,26.0,56.0,276.0,89.32038834951456,42.74809160305343,4.285714285714286,3.7142857142857135,1.1538461538461535,4.366666666666666,5.038461538461538,2.3392857142857144,33.0,75.0,44.0,38.0,29.262086513994912,26.579619833176515,60.21,57.142857142857146,57.142857142857146,14.285714285714286,100.0,25.0,0.0,0.0,105.0,51.0,205.8823529411765,33.980582524271846,0.0,0.0,0.0,0.0,7.288625954198474,252.0,98.0,257.14285714285717,3.0,3.0,100.0
KL Rahul,KL Rahul,WK-Batter,DC,NO,49.0,1976.0,1486.0,2716.0,42.0,7.0,47.04761904761905,132.97442799461643,40.326530612244895,30.3265306122449,55.42857142857143,26.0,17.0,10.0,103.0,12.0,8.0,162.0,80.0,242.0,1128.0,57.08502024291498,16.285329744279945,3.306122448979592,1.6326530612244898,2.025,9.17283950617284,18.575,6.140495867768595,848.0,1244.0,68.16720257234726,301.0,20.30806041573202,31.06202649209994,77.03,53.06122448979592,34.69387755102041,20.40816326530612,65.38461538461539,58.8235294117647,18.367346938775512,9.523809523809524,144.0,160.0,90.0,7.287449392712551,740.0,526.0,140.68441064638785,37.449392712550605,30.029425110555668,1763.0,1404.0,125.56980056980056,985.0,565.0,174.3362831858407
Karun Nair,Karun Nair,Batter,DC,NO,2.0,16.0,18.0,32.0,2.0,0.0,8.0,88.88888888888889,8.0,9.0,16.0,0.0,0.0,0.0,13.0,1.0,0.0,1.0,0.0,1.0,4.0,25.0,5.555555555555555,0.5,0.0,0.0,18.0,0.0,18.0,12.0,17.0,70.58823529411765,3.0,20.370370370370377,7.071067811865476,88.39,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,60.0,18.75,0.1422222222222222,449.0,339.0,132.44837758112092,348.0,219.0,158.9041095890411
Sameer Rizvi,Sameer Rizvi,All-Rounder,DC,NO,4.0,36.0,35.0,34.0,4.0,0.0,9.0,102.85714285714286,9.0,8.75,8.5,0.0,0.0,0.0,21.0,1.0,2.0,1.0,2.0,3.0,16.0,44.44444444444444,8.571428571428571,0.25,0.5,0.5,35.0,17.5,11.666666666666666,20.0,32.0,62.5,9.0,27.936507936507937,10.23067283548187,113.67,0.0,0.0,0.0,0.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,14.0,6.0,233.33333333333331,38.888888888888886,0.3702857142857143,11.0,10.0,97.71428571428571,20.0,10.0,200.0
Tristan Stubbs,Tristan Stubbs,WK-Batter,DC,NO,15.0,345.0,204.0,352.0,10.0,5.0,34.5,169.11764705882354,23.0,13.6,23.466666666666665,5.0,2.0,1.0,71.0,6.0,7.0,23.0,22.0,45.0,224.0,64.92753623188406,22.058823529411764,1.5333333333333334,1.4666666666666666,1.0454545454545454,8.869565217391305,9.272727272727272,4.533333333333333,121.0,159.0,76.1006289308176,24.0,12.037037037037043,23.01241900738444,100.05,33.333333333333336,13.333333333333334,6.666666666666667,40.0,50.0,40.0,20.0,0.0,2.0,0.0,0.0,63.0,43.0,146.51162790697674,18.26086956521739,7.779411764705882,1.0,4.0,25.0,249.0,126.0,197.61904761904762
Anuj Rawat,Anuj Rawat,WK-Batter,GT,NO,21.0,318.0,267.0,467.0,16.0,5.0,19.875,119.1011235955056,15.142857142857142,12.714285714285714,22.23809523809524,2.0,1.0,0.0,66.0,5.0,6.0,26.0,14.0,40.0,188.0,59.11949685534592,14.9812734082397,1.238095238095238,0.6666666666666666,1.8571428571428568,10.26923076923077,19.071428571428573,6.675,130.0,227.0,57.26872246696036,82.0,30.919683728672496,16.992014931389726,112.21,9.523809523809524,4.761904761904762,0.0,50.0,0.0,47.61904761904762,25.0,22.0,31.0,70.96774193548387,6.918238993710692,128.0,89.0,143.82022471910113,40.25157232704402,4.689181380417336,75.0,77.0,97.40259740259741,152.0,98.0,155.10204081632654
Arshad Khan,Arshad Khan,All-Rounder,GT,NO,5.0,43.0,35.0,66.0,3.0,2.0,14.333333333333334,122.85714285714286,8.6,7.0,13.2,0.0,0.0,0.0,20.0,2.0,1.0,3.0,1.0,4.0,18.0,41.86046511627907,11.428571428571429,0.6,0.2,3.0,11.666666666666666,35.0,8.75,25.0,31.0,80.64516129032258,3.0,9.206349206349206,8.44393273303382,98.19,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,100.0,13.953488372093023,0.7396,13.0,10.0,116.71428571428571,36.0,23.0,156.52173913043478
Dasun Shanaka,Dasun Shanaka,All-Rounder,GT,NO,3.0,26.0,26.0,29.0,2.0,1.0,13.0,100.0,8.666666666666666,8.666666666666666,9.666666666666666,0.0,0.0,0.0,17.0,1.0,1.0,2.0,1.0,3.0,14.0,53.84615384615385,11.538461538461538,0.6666666666666666,0.3333333333333333,2.0,13.0,26.0,8.666666666666666,12.0,23.0,52.17391304347826,9.0,37.17948717948718,8.504900548115383,98.13,0.0,0.0,0.0,0.0,0.0,66.66666666666667,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3466666666666667,8.0,8.0,95.0,8.0,9.0,88.88888888888889
Glenn Phillips,Glenn Phillips,Batter ,GT,NO,8.0,65.0,55.0,89.0,7.0,1.0,9.285714285714286,118.1818181818182,8.125,6.875,11.125,0.0,0.0,0.0,25.0,1.0,3.0,3.0,6.0,9.0,48.0,73.84615384615384,16.363636363636363,0.375,0.75,0.5,18.33333333333333,9.166666666666666,6.111111111111111,17.0,46.0,36.95652173913044,27.0,49.29292929292929,8.131727983645296,100.08,0.0,0.0,0.0,0.0,0.0,75.0,14.285714285714286,0.0,0.0,0.0,0.0,31.0,15.0,206.66666666666663,47.69230769230769,0.8642045454545454,0.0,3.0,0.0,46.0,23.0,200.0
Jayant Yadav,Jayant Yadav,All-Rounder,GT,NO,3.0,34.0,26.0,40.0,2.0,1.0,17.0,130.76923076923077,11.333333333333334,8.666666666666666,13.333333333333334,0.0,0.0,0.0,23.0,1.0,1.0,2.0,1.0,3.0,14.0,41.1764705882353,11.538461538461538,0.6666666666666666,0.3333333333333333,2.0,13.0,26.0,8.666666666666666,20.0,23.0,86.95652173913044,0.0,2.9914529914529946,11.50362261782493,101.5,0.0,0.0,0.0,0.0,0.0,33.333333333333336,50.0,0.0,0.0,0.0,0.0,34.0,26.0,130.76923076923077,100.0,0.5928205128205128,10.0,8.0,124.23076923076923,35.0,31.0,112.90322580645163
Jos Buttler,Jos Buttler,WK-Batter,GT,NO,48.0,1847.0,1257.0,2152.0,44.0,4.0,41.97727272727273,146.93715194908512,38.47916666666666,26.1875,44.833333333333336,23.0,15.0,11.0,124.0,12.0,9.0,186.0,84.0,270.0,1248.0,67.56903086085543,21.479713603818617,3.875,1.75,2.2142857142857144,6.758064516129032,14.964285714285714,4.655555555555556,599.0,987.0,60.68895643363729,321.0,25.57235039335278,37.94788676499758,98.62,47.91666666666666,31.25,22.916666666666668,65.21739130434783,73.33333333333333,31.25,13.636363636363637,284.0,214.0,132.71028037383178,15.37628586897672,758.0,460.0,164.7826086956522,41.03952355170547,29.400899628745687,1456.0,1008.0,144.44444444444443,787.0,404.0,194.8019801980198
Kumar Kushagra,Kumar Kushagra,WK-Batter,GT,NO,2.0,1.0,4.0,10.0,2.0,0.0,0.5,25.0,0.5,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,25.0,2.0,72.22222222222221,0.7071067811865476,141.42,0.0,0.0,0.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0025,0.0,1.0,23.75,0.0,2.0,0.0
M Shahrukh Khan,M Shahrukh Khan,All-Rounder,GT,NO,37.0,547.0,388.0,766.0,27.0,10.0,20.25925925925926,140.97938144329896,14.783783783783784,10.486486486486486,20.7027027027027,4.0,1.0,0.0,58.0,5.0,5.0,35.0,36.0,71.0,356.0,65.08226691042047,18.298969072164947,0.945945945945946,0.972972972972973,0.9722222222222222,11.085714285714284,10.77777777777778,5.464788732394366,191.0,317.0,60.25236593059937,104.0,27.00458190148912,13.587443417310656,91.91,10.81081081081081,2.702702702702702,0.0,25.0,0.0,43.24324324324324,14.814814814814817,0.0,0.0,0.0,0.0,208.0,164.0,126.82926829268293,38.02559414990859,9.795780858177764,20.0,11.0,181.8181818181818,352.0,228.0,154.38596491228068
Mahipal Lomror,Mahipal Lomror,All-Rounder,GT,NO,26.0,395.0,269.0,465.0,22.0,4.0,17.954545454545453,146.84014869888475,15.192307692307692,10.346153846153848,17.884615384615383,5.0,1.0,0.0,54.0,6.0,4.0,26.0,24.0,50.0,248.0,62.78481012658228,18.587360594795538,1.0,0.9230769230769232,1.0833333333333333,10.346153846153848,11.208333333333334,5.38,147.0,219.0,67.12328767123287,55.0,20.693928128872365,15.558969710798284,102.41,19.23076923076923,3.8461538461538463,0.0,20.0,0.0,53.84615384615385,13.636363636363637,6.0,8.0,75.0,1.518987341772152,160.0,92.0,173.91304347826087,40.50632911392405,6.692522161853015,20.0,23.0,86.95652173913044,256.0,156.0,164.1025641025641
Sai Kishore,Sai Kishore,All-Rounder,GT,NO,2.0,13.0,6.0,11.0,1.0,1.0,13.0,216.66666666666663,6.5,3.0,5.5,0.0,0.0,0.0,13.0,0.0,2.0,0.0,2.0,2.0,12.0,92.3076923076923,33.333333333333336,0.0,1.0,0.0,0.0,3.0,3.0,1.0,4.0,25.0,2.0,48.14814814814815,9.192388155425116,141.42,0.0,0.0,0.0,0.0,0.0,50.0,100.0,0.0,0.0,0.0,0.0,13.0,6.0,216.66666666666663,100.0,0.4225,4.0,2.0,205.8333333333333,17.0,6.0,283.33333333333337
Sai Sudharsan,Sai Sudharsan,All-Rounder,GT,NO,25.0,1034.0,743.0,1156.0,22.0,3.0,47.0,139.16554508748317,41.36,29.72,46.24,17.0,7.0,3.0,103.0,8.0,7.0,95.0,31.0,126.0,566.0,54.73887814313346,16.95827725437416,3.8,1.24,3.064516129032258,7.821052631578947,23.967741935483872,5.896825396825397,468.0,617.0,75.85089141004862,97.0,13.055181695827724,26.059035541119577,63.01,68.0,28.0,12.0,41.1764705882353,42.85714285714285,4.0,0.0,49.0,51.0,96.07843137254902,4.738878143133462,385.0,242.0,159.0909090909091,37.234042553191486,16.11648344549125,238.0,193.0,123.3160621761658,218.0,122.0,178.68852459016392
Sherfane Rutherford,Sherfane Rutherford,Batter,GT,NO,2.0,33.0,50.0,100.0,2.0,0.0,16.5,66.0,16.5,25.0,50.0,0.0,0.0,0.0,28.0,1.0,1.0,1.0,1.0,2.0,10.0,30.303030303030305,4.0,0.5,0.5,1.0,50.0,50.0,25.0,23.0,48.0,47.91666666666666,22.0,44.88888888888889,16.263455967290593,98.57,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,28.0,40.0,70.0,84.84848484848484,0.2178,7.0,10.0,70.0,78.0,53.0,147.16981132075472
