Player_Name,Kaggle_Match_Name,Player_Type,IPL_Team_2025,DEBUT,BASE_OVR,POWERPLAY_OVR,MIDDLE_OVERS_OVR,DEATH_OVERS_OVR
Allah Ghazanfar,,Bowler,MI,YES,67.0,55.0,55.0,79.0
Arjun Tendulkar,Arjun Tendulkar,Bowler,MI,NO,76.2,72.0,80.5,55.0
Ashwani Kumar,,Bowler,MI,YES,81.3,76.0,81.5,81.1
Charith Asalanka,,Bowler,MI,YES,67.0,55.0,55.0,79.0
Deepak Chahar,Deepak Chahar,Bowler,MI,NO,85.7,83.6,87.7,67.6
Jasprit Bumrah,Jasprit Bumrah,Bowler,MI,NO,91.3,89.6,93.1,77.2
Karn Sharma,Karn Sharma,Bowler,MI,NO,68.8,63.6,73.9,55.0
Lizaad Williams,Lizaad Williams,Bowler,MI,NO,62.1,61.6,62.6,55.0
Mujeeb-ur-Rahman,,Bowler,MI,YES,93.2,90.3,94.6,91.8
Raghu Sharma,,Bowler,MI,YES,67.0,55.0,55.0,79.0
Reece Topley,Reece Topley,Bowler,MI,NO,70.9,67.2,74.6,55.0
Richard Gleeson,Richard Gleeson,Bowler,MI,NO,73.4,74.7,72.1,58.1
Trent Boult,Trent Boult,Bowler,MI,NO,87.7,86.3,89.0,71.3
V Satyanarayana Penmetsa,,Bowler,MI,YES,67.0,55.0,55.0,79.0
Vignesh Puthur,,Bowler,MI,YES,67.0,55.0,55.0,79.0
Aaron Hardie,,All-Rounder,PK,YES,67.0,55.0,55.0,79.0
Azmatullah Omarzai,Azmatullah Omarzai,All-Rounder,PK,NO,76.6,78.1,75.1,62.3
Glenn Maxwell,Glenn Maxwell,All-Rounder,PK,NO,82.7,81.2,84.2,72.4
Harpreet Brar,Harpreet Brar,All-Rounder,PK,NO,85.8,85.6,86.0,76.7
Marco Jansen,Marco Jansen,All-Rounder,PK,NO,79.5,77.4,81.5,60.1
Marcus Stoinis,Marcus Stoinis,All-Rounder,PK,NO,74.7,70.5,78.8,60.5
Musheer Khan,,All-Rounder,PK,YES,67.0,55.0,55.0,79.0
Priyansh Arya,,All-Rounder,PK,YES,67.0,55.0,55.0,79.0
Suryansh Shedge,,All-Rounder,PK,YES,70.6,58.7,68.2,72.9
Arshdeep Singh,Arshdeep Singh,Bowler,PK,NO,82.8,79.7,85.8,66.3
Kuldeep Sen,Kuldeep Sen,Bowler,PK,NO,74.8,71.0,78.6,55.8
Kyle Jamieson,Kyle Jamieson,Bowler,PK,NO,77.2,74.0,80.4,56.7
Lockie Ferguson,Lockie Ferguson,Bowler,PK,NO,81.0,78.2,83.8,62.9
Praveen Dubey,Praveen Dubey,Bowler,PK,NO,87.2,85.6,88.7,74.7
Vijaykumar Vyshak,Vijaykumar Vyshak,Bowler,PK,NO,66.2,61.5,70.8,55.0
