Player_Name,Kaggle_Match_Name,Player_Type,IPL_Team_2025,DEBUT,BASE_OVR,TOP_ORDER_OVR,MIDDLE_ORDER_OVR,FINISHER_OVR
Prabhsimran Singh,Prabhsimran Singh,WK-Batter,PK,NO,67.0,71.3,61.1,76.5
Vishnu Vinod,Vishnu Vinod,WK-Batter,PK,NO,57.0,55.0,62.5,57.1
Jacob Bethell,,All-Rounder,RCB,YES,77.5,68.6,68.8,76.4
Krunal Pandya,Krunal Pandya,All-Rounder,RCB,NO,55.0,55.0,59.0,57.1
Liam Livingstone,Liam Livingstone,All-Rounder,RCB,NO,80.3,75.9,75.8,81.8
Manoj Bhandage,,All-Rounder,RCB,YES,51.9,51.2,55.2,54.6
Romario Shepherd,Romario Shepherd,All-Rounder,RCB,NO,85.3,70.2,58.9,77.0
Swapnil Singh,Swapnil Singh,All-Rounder,RCB,NO,78.3,64.0,55.0,72.4
Tim David,Tim David,All-Rounder,RCB,NO,73.7,73.4,69.0,79.5
Mayank Agarwal,Mayank Agarwal,Batter,RCB,NO,65.8,63.4,67.5,67.8
Rajat Patidar,Rajat Patidar,Batter,RCB,NO,78.5,71.6,79.6,80.9
Swastik Chhikara,,Batter,RCB,YES,51.2,51.2,55.2,51.2
Virat Kohli,Virat Kohli,Batter,RCB,NO,82.7,72.9,78.3,71.0
Devdutt Padikkal,Devdutt Padikkal,Batter ,RCB,NO,62.6,67.2,57.0,69.0
Jitesh Sharma,Jitesh Sharma,WK-Batter,RCB,NO,64.5,64.4,58.7,78.6
Phil Salt,Phil Salt,WK-Batter,RCB,NO,86.5,89.0,80.0,82.5
Tim Seifert,Tim Seifert,WK-Batter,RCB,NO,55.0,55.0,62.5,55.0
Nitish Rana,Nitish Rana,All-Rounder,RR,NO,68.2,65.8,63.2,72.9
Yudhvir Singh,Yudhvir Singh,All-Rounder,RR,NO,55.0,55.0,59.0,55.0
Lhuan-dre Pretorius,,Batter,RR,YES,51.2,51.2,55.2,51.2
Riyan Parag,Riyan Parag,Batter,RR,NO,73.3,73.0,69.0,67.0
Shimron Hetmyer,Shimron Hetmyer,Batter,RR,NO,78.5,74.0,74.7,81.4
Shubham Dubey,Shubham Dubey,Batter,RR,NO,91.5,72.8,66.1,80.6
Vaibhav Suryavanshi,,Batter,RR,YES,90.2,90.2,73.9,89.7
Yashasvi Jaiswal,Yashasvi Jaiswal,Batter,RR,NO,81.2,76.1,74.1,81.6
Dhruv Jurel,Dhruv Jurel,WK-Batter,RR,NO,62.8,60.9,70.0,63.5
Kunal Rathore,,WK-Batter,RR,YES,51.2,51.2,58.7,51.2
Sanju Samson,Sanju Samson,WK-Batter,RR,NO,84.2,76.5,77.7,85.4
Abhishek Sharma,Abhishek Sharma,All-Rounder,SRH,NO,73.8,73.5,67.6,75.6
Brydon Carse,,All-Rounder,SRH,YES,62.7,53.8,62.6,57.8
Harsh Dubey,,All-Rounder,SRH,YES,60.5,51.2,55.2,51.2
Harshal Patel,Harshal Patel,All-Rounder,SRH,NO,55.0,55.0,59.0,56.8
Kamindu Mendis,,All-Rounder,SRH,YES,51.2,51.2,55.2,51.2
Nitish Kumar Reddy,Nitish Kumar Reddy,All-Rounder,SRH,NO,92.2,80.7,83.4,84.3
Wiaan Mulder,,All-Rounder,SRH,YES,51.2,51.2,55.2,51.2
Abhinav Manohar,Abhinav Manohar,Batter,SRH,NO,55.0,55.0,59.0,58.6
Aniket Verma,,Batter,SRH,YES,51.2,51.2,55.2,51.2
Atharva Taide,Atharva Taide,Batter,SRH,NO,73.5,57.4,72.2,60.0
Sachin Baby,Sachin Baby,Batter,SRH,NO,55.0,55.0,59.0,55.0
Smaran Ravichandran,,Batter,SRH,YES,90.2,75.3,79.5,84.2
Travis Head,Travis Head,Batter,SRH,NO,97.0,93.3,86.7,93.2
Heinrich Klaasen,Heinrich Klaasen,WK-Batter,SRH,NO,91.8,86.4,87.8,95.5
Ishan Kishan,Ishan Kishan,WK-Batter,SRH,NO,68.5,77.3,63.1,66.2
