Player_Name,2025_Name,Matched_FullName,Player_Type,IPL_Team_2025,Batting_Innings,Bowling_Innings,Total_Innings,Match_Confidence,Match_Type
Yudhvir Singh,Yudhvir Singh Charak,Yudhvir Singh,All-Rounder,RR,3,4,7,0.889,fuzzy_comprehensive
SD Hope,Shaik Rasheed,Shai Hope,Batter,CSK,7,0,7,0.769,fuzzy_comprehensive
A Raghuvanshi,Angkrish Raghuvanshi,Angkrish Raghuvanshi,Batter,KKR,7,0,7,1.0,exact_variation
Akash Singh,Akash Singh,Akash Singh,Bowler,LSG,0,6,6,1.0,exact_variation
RJW Topley,Reece Topley,Reece Topley,Bowler,MI,1,5,6,1.0,exact_fullname_variation
Harpreet Singh,Himmat Singh,Harpreet Singh,Batter,LSG,5,0,5,1.0,exact_fullname_variation
N Thushara,Nuwan Thushara,Nuwan Thushara,Bowler,RCB,0,5,5,1.0,exact_variation
S Gopal,Shreyas Gopal,Shreyas Gopal,Bowler,CSK,1,4,5,1.0,exact_variation
AJ Finch,Aaron Hardie,Aaron Finch,All-Rounder,PK,5,0,5,0.857,fuzzy_comprehensive
Sumit Kumar,Kumar Kartikeya Singh,Sumit Kumar,Bowler,RR,3,2,5,1.0,exact_fullname_variation
AS Tendulkar,Arjun Tendulkar,Arjun Tendulkar,Bowler,MI,1,4,5,1.0,exact_fullname_variation
Sameer Rizvi,Sameer Rizvi,Sameer Rizvi,All-Rounder,DC,4,0,4,1.0,exact_variation
N Burger,Nandre Burger,Nandre Burger,Bowler,RR,0,4,4,1.0,exact_variation
MP Yadav,Prince Yadav,Mayank Yadav,Bowler,LSG,0,4,4,0.933,lastname_fuzzy
M Siddharth,M. Siddharth,Manimaran Siddharth,Bowler,LSG,0,3,3,1.0,exact_variation
Vishnu Vinod,Vishnu Vinod,Vishnu Vinod,WK-Batter,PK,3,0,3,1.0,exact_variation
RJ Gleeson,Richard Gleeson,Richard Gleeson,Bowler,MI,1,2,3,1.0,exact_fullname_variation
KA Maharaj,Eshan Malinga,Keshav Maharaj,Bowler,SRH,1,2,3,0.8,fuzzy_comprehensive
LB Williams,William O’Rourke,Lizaad Williams,Bowler,LSG,1,2,3,0.842,fuzzy_comprehensive
