Player_Name,2025_Name,Matched_FullName,Player_Type,IPL_Team_2025,Batting_Innings,Bowling_Innings,Total_Innings,Match_Confidence,Match_Type
Mustafizur Rahman,Mustafizur Rahman,Mustafizur Rahman,Bowler,DC,2,19,21,1.0,exact_variation
JR Hazlewood,Josh Inglis,Josh Hazlewood,WK-Batter,PK,6,15,21,0.833,fuzzy_comprehensive
M Prasidh Krishna,Ramakrishna Ghosh,Prasidh Krishna,All-Rounder,CSK,3,17,20,0.727,fuzzy_comprehensive
M Pathirana,Matheesha Pathirana,Matheesha Pathirana,Bowler,CSK,0,20,20,1.0,exact_variation
PD Salt,Phil Salt,Phil Salt,WK-Batter,RCB,20,0,20,1.0,exact_fullname_variation
M Prasidh Krishna,Ramakrishna Ghosh,Prasidh Krishna,All-Rounder,CSK,3,17,20,0.727,fuzzy_comprehensive
M Prasidh Krishna,Ramakrishna Ghosh,Prasidh Krishna,All-Rounder,CSK,3,17,20,0.727,fuzzy_comprehensive
Anuj Rawat,Anuj Rawat,Anuj Rawat,WK-Batter,GT,20,0,20,1.0,exact_variation
Yash Thakur,Yash Thakur,Yash Thakur,Bowler,PK,0,19,19,1.0,exact_variation
Abdul Samad,Abdul Samad,Abdul Samad,All-Rounder,LSG,18,1,19,1.0,exact_variation
Shashank Singh,Shashank Singh,Shashank Singh,Batter,PK,17,2,19,1.0,exact_variation
Harshit Rana,Harshit Rana,Harshit Rana,Bowler,KKR,3,16,19,1.0,exact_variation
DL Chahar,Deepak Chahar,Deepak Chahar,Bowler,MI,1,18,19,1.0,exact_fullname_variation
KR Mayers,Kyle Jamieson,Kyle Mayers,Bowler,PK,13,6,19,0.833,fuzzy_comprehensive
MJ Santner,Mitchell Starc,Mitchell Santner,Bowler,DC,8,11,19,1.0,exact_fullname_variation
MJ Santner,Mitchell Starc,Mitchell Santner,Bowler,DC,8,11,19,1.0,exact_fullname_variation
DC Jurel,Dhruv Jurel,Dhruv Jurel,WK-Batter,RR,18,0,18,1.0,exact_fullname_variation
RM Patidar,Rajat Patidar,Rajat Patidar,Batter,RCB,17,0,17,1.0,exact_fullname_variation
I Sharma,Nishant Sindhu,Ishant Sharma,All-Rounder,GT,2,15,17,0.941,fuzzy_comprehensive
I Sharma,Nishant Sindhu,Ishant Sharma,All-Rounder,GT,2,15,17,0.941,fuzzy_comprehensive
T Stubbs,Tristan Stubbs,Tristan Stubbs,WK-Batter,DC,15,2,17,1.0,exact_variation
Mukesh Choudhary,Yuvraj Chaudhary,Mukesh Choudhary,All-Rounder,LSG,2,14,16,0.818,fuzzy_comprehensive
Ramandeep Singh,Rinku Singh,Ramandeep Singh,Batter,KKR,12,4,16,1.0,exact_fullname_variation
Ramandeep Singh,Rinku Singh,Ramandeep Singh,Batter,KKR,12,4,16,1.0,exact_fullname_variation
MK Pandey,Manish Pandey,Manish Pandey,Batter,KKR,16,0,16,1.0,exact_fullname_variation
Mukesh Choudhary,Yuvraj Chaudhary,Mukesh Choudhary,All-Rounder,LSG,2,14,16,0.818,fuzzy_comprehensive
R Shepherd,Romario Shepherd,Romario Shepherd,All-Rounder,RCB,8,7,15,1.0,exact_variation
G Coetzee,Gerald Coetzee,Gerald Coetzee,Bowler,GT,5,10,15,1.0,exact_variation
V Vyshak,Vyshak Vijaykumar,Vijaykumar Vyshak,Bowler,PK,4,11,15,1.0,exact_fullname_variation
NT Ellis,Nathan Ellis,Nathan Ellis,Bowler,CSK,3,12,15,1.0,exact_fullname_variation
A Manohar,Abhinav Manohar,Abhinav Manohar,Batter,SRH,15,0,15,1.0,exact_variation
A Madhwal,Ajay Mandal,Akash Madhwal,All-Rounder,DC,1,13,14,0.824,fuzzy_comprehensive
A Madhwal,Ajay Mandal,Akash Madhwal,All-Rounder,DC,1,13,14,0.824,fuzzy_comprehensive
Abishek Porel,Abishek Porel,Abishek Porel,WK-Batter,DC,14,0,14,1.0,exact_variation
AS Roy,Anukul Roy,Anukul Roy,All-Rounder,KKR,6,8,14,1.0,exact_fullname_variation
N Wadhera,Nehal Wadhera,Nehal Wadhera,Batter,PK,14,0,14,1.0,exact_variation
Suyash Sharma,Suryansh Shedge,Suyash Sharma,All-Rounder,PK,0,13,13,0.889,fuzzy_comprehensive
Suyash Sharma,Suryansh Shedge,Suyash Sharma,All-Rounder,PK,0,13,13,0.889,fuzzy_comprehensive
KR Sen,Kuldeep Sen,Kuldeep Sen,Bowler,PK,1,12,13,1.0,exact_fullname_variation
R Sai Kishore,Sai Kishore,Sai Kishore,All-Rounder,GT,2,10,12,1.0,exact_fullname_variation
OF Smith,Mitch Owen,Odean Smith,Batter,PK,6,6,12,0.857,fuzzy_comprehensive
D Pretorius,Lhuan-dre Pretorius,Dwaine Pretorius,Batter,RR,5,7,12,0.95,lastname_unique
Rasikh Salam,Rasikh Dar,Rasikh Salam,Bowler,RCB,4,8,12,0.875,fuzzy_comprehensive
Simarjeet Singh,Simarjeet Singh,Simarjeet Singh,Bowler,SRH,3,8,11,1.0,exact_variation
Akash Deep,Akash Deep,Akash Deep,Bowler,LSG,3,8,11,1.0,exact_variation
Azmatullah Omarzai,Azmatullah Omarzai,Azmatullah Omarzai,All-Rounder,PK,4,7,11,1.0,exact_variation
TM Head,Travis Head,Travis Head,Batter,SRH,11,0,11,1.0,exact_fullname_variation
MS Wade,Matthew Breetzke,Matthew Wade,Batter,LSG,11,0,11,0.889,fuzzy_comprehensive
Rahmanullah Gurbaz,Rahmanullah Gurbaz,Rahmanullah Gurbaz,WK-Batter,KKR,11,0,11,1.0,exact_variation
RV Uthappa,Robin Minz,Robin Uthappa,WK-Batter,MI,11,0,11,0.857,fuzzy_comprehensive
R Ravindra,Sachin Baby,Rachin Ravindra,Batter,SRH,8,2,10,0.75,fuzzy_comprehensive
D Brevis,Dewald Brevis,Dewald Brevis,Batter,CSK,9,1,10,1.0,exact_variation
Swapnil Singh,Swapnil Singh,Swapnil Singh,All-Rounder,RCB,4,6,10,1.0,exact_variation
R Ravindra,Sachin Baby,Rachin Ravindra,Batter,SRH,8,2,10,0.75,fuzzy_comprehensive
Fazalhaq Farooqi,Fazalhaq Farooqi,Fazalhaq Farooqi,Bowler,RR,2,7,9,1.0,exact_variation
SN Khan,Shahrukh Khan,Sarfaraz Khan,All-Rounder,GT,9,0,9,1.0,exact_fullname_variation
A Taide,Atharva Taide,Atharva Taide,Batter,SRH,8,0,8,1.0,exact_variation
SH Johnson,Spencer Johnson,Spencer Johnson,Bowler,KKR,3,5,8,1.0,exact_fullname_variation
N Jagadeesan,Aryan Juyal,Narayan Jagadeesan,WK-Batter,LSG,8,0,8,0.875,fuzzy_comprehensive
Anmolpreet Singh,Digvesh Singh,Anmolpreet Singh,Bowler,LSG,8,0,8,0.857,lastname_fuzzy
Anmolpreet Singh,Digvesh Singh,Anmolpreet Singh,Bowler,LSG,8,0,8,0.857,lastname_fuzzy
DG Nalkande,Darshan Nalkande,Darshan Nalkande,All-Rounder,DC,2,6,8,1.0,exact_fullname_variation
C Sakariya,Chetan Sakariya,Chetan Sakariya,Bowler,KKR,2,5,7,1.0,exact_variation
Naman Dhir,Naman Dhir,Naman Dhir,All-Rounder,MI,5,2,7,1.0,exact_variation
JC Archer,Jofra Archer,Jofra Archer,Bowler,RR,2,5,7,1.0,exact_fullname_variation
