PLAYER_ID,PLAYER_NAME,PLAYER_TYPE,PLAYER_IPL_TEAM,TOTAL_RUNS,BATTING_AVG,30+RUNS,50+RUNS,70+RUNS,S/R_vs_SPIN,S/R_vs_PACE,HIGHEST_SCORED,NOT_OUTS,BOUNDARY_%,DOT_BALLS_%,BALLS_FACED,CATCHES_TAKEN,CATCHES_DROPPED,RUN_OUT_(%),RUNS_SAVED,BOUNDARIES_SAVED,CAUGHT_BEHIND,STUMPING,RUN_OUTS
01038bb0-12d5-4729-8a33-a6b341367b13_STATE_T20,Faf du Plessis,Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01038bb0-12d5-4729-8a33-a6b341367b13_SMAT_ELITE,Faf du Plessis,Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01038bb0-12d5-4729-8a33-a6b341367b13_VIJAY_HAZARE,Faf du Plessis,Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01038bb0-12d5-4729-8a33-a6b341367b13_VINOO_MANKAD,Faf du Plessis,Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01038bb0-12d5-4729-8a33-a6b341367b13_DULEEP_TROPHY,Faf du Plessis,Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01038bb0-12d5-4729-8a33-a6b341367b13_RANJI_TROPHY,Faf du Plessis,Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01038bb0-12d5-4729-8a33-a6b341367b13_BBL,Faf du Plessis,Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01038bb0-12d5-4729-8a33-a6b341367b13_CPL,Faf du Plessis,Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01038bb0-12d5-4729-8a33-a6b341367b13_SA20,Faf du Plessis,Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01038bb0-12d5-4729-8a33-a6b341367b13_ILT20,Faf du Plessis,Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317b6f4-688b-4a2c-9ef5-a9dabae36309_IPL,Donovan Ferreira,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317b6f4-688b-4a2c-9ef5-a9dabae36309_T20I,Donovan Ferreira,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317b6f4-688b-4a2c-9ef5-a9dabae36309_ODI,Donovan Ferreira,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317b6f4-688b-4a2c-9ef5-a9dabae36309_STATE_T20,Donovan Ferreira,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317b6f4-688b-4a2c-9ef5-a9dabae36309_SMAT_ELITE,Donovan Ferreira,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317b6f4-688b-4a2c-9ef5-a9dabae36309_VIJAY_HAZARE,Donovan Ferreira,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317b6f4-688b-4a2c-9ef5-a9dabae36309_VINOO_MANKAD,Donovan Ferreira,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317b6f4-688b-4a2c-9ef5-a9dabae36309_DULEEP_TROPHY,Donovan Ferreira,WK-Batter,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
