Player_Name,Kaggle_Match_Name,Overall_SR,Overall_Avg,Overall_Boundary_Pct,Balls_vs_Pace,Innings_vs_Pace,SR_vs_Pace,Avg_vs_Pace,Boundary_Pct_vs_Pace,Deviation_vs_Pace,Confidence_vs_Pace,Balls_vs_Spin,Innings_vs_Spin,SR_vs_Spin,Avg_vs_Spin,Boundary_Pct_vs_Spin,Deviation_vs_Spin,Confidence_vs_Spin,Pace_Advantage
Shahbaz Ahmed,Shahbaz Ahmed,124.32,21.08,49.41,159,19,154.09,24.5,17.61,0.205,0.889,146,18,105.48,19.25,6.85,-0.143,0.876,0.349
Shardul Thakur,Shardul Thakur,147.59,13.61,63.67,85,18,164.71,14.0,23.53,0.118,0.714,42,11,109.52,15.33,9.52,-0.29,0.314,0.408
Shashank Singh,Shashank Singh,164.45,42.1,66.98,133,16,163.91,43.6,23.31,-0.004,0.863,89,12,144.94,64.5,15.73,-0.149,0.754,0.145
Sherfane Rutherford,Sherfane Rutherford,66.0,16.5,30.3,4,2,50.0,2.0,0.0,0.0,0.0,31,2,87.1,0.0,6.45,0.161,0.304,-0.161
Shimron Hetmyer,Shimron Hetmyer,158.98,37.52,64.39,250,29,168.8,46.89,22.0,0.068,0.95,95,20,104.21,16.5,7.37,-0.417,0.796,0.485
Shivam Dube,Shivam Dube,152.09,34.42,64.22,342,31,167.25,38.13,21.64,0.105,0.95,183,27,156.28,35.75,17.49,0.032,0.913,0.073
Shreyas Iyer,Shreyas Iyer,127.57,32.92,53.27,261,22,134.48,31.91,17.62,0.048,0.95,176,14,129.55,45.6,13.64,0.015,0.906,0.033
Shubham Dubey,Shubham Dubey,183.33,33.0,72.73,15,2,213.33,32.0,33.33,0.0,0.0,2,1,50.0,0.0,0.0,0.0,0.0,0.0
Shubman Gill,Shubman Gill,140.56,39.95,57.88,612,43,140.69,34.44,17.97,0.001,0.95,408,31,149.75,47.0,17.65,0.07,0.95,-0.069
Sunil Narine,Sunil Narine,169.81,18.03,80.26,225,25,177.33,28.5,28.0,0.052,0.95,89,14,188.76,24.0,28.09,0.144,0.754,-0.092
Suryakumar Yadav,Suryakumar Yadav,163.54,36.1,69.26,360,30,189.44,35.89,29.72,0.179,0.95,286,24,140.21,57.29,17.13,-0.178,0.95,0.356
Swapnil Singh,Swapnil Singh,150.0,30.0,80.0,6,1,200.0,12.0,33.33,0.0,0.0,12,2,141.67,0.0,25.0,0.0,0.0,0.0
Tilak Varma,Tilak Varma,146.26,40.52,60.69,369,33,144.44,33.31,19.78,-0.013,0.95,307,30,150.49,77.0,15.64,0.032,0.95,-0.045
Tim David,Tim David,171.16,28.86,64.88,275,28,188.73,37.07,24.73,0.121,0.95,76,18,101.32,12.83,6.58,-0.532,0.59,0.653
Tim Seifert,Tim Seifert,113.04,8.67,61.54,11,2,109.09,12.0,18.18,0.0,0.0,0,0,0.0,0.0,,0.0,0.0,0.0
Travis Head,Travis Head,201.89,53.3,80.68,179,10,204.47,73.2,35.75,0.018,0.909,64,7,148.44,23.75,18.75,-0.407,0.425,0.425
Tristan Stubbs,Tristan Stubbs,169.12,34.5,64.93,101,13,165.35,33.4,20.79,-0.026,0.821,80,10,170.0,45.33,20.0,0.007,0.649,-0.033
Venkatesh Iyer,Venkatesh Iyer,128.06,26.92,61.1,268,31,130.6,23.33,17.16,0.018,0.95,134,18,121.64,18.11,11.94,-0.049,0.864,0.066
Vijay Shankar,Vijay Shankar,132.85,20.95,57.27,177,19,135.03,23.9,16.38,0.015,0.907,80,12,146.25,39.0,16.25,0.102,0.649,-0.087
Virat Kohli,Virat Kohli,134.33,40.38,57.36,593,36,151.94,40.95,21.59,0.121,0.95,433,29,125.87,68.12,11.55,-0.064,0.95,0.186
Vishnu Vinod,Vishnu Vinod,119.35,12.33,54.05,12,3,133.33,5.33,16.67,0.0,0.0,8,2,100.0,0.0,12.5,0.0,0.0,0.0
Washington Sundar,Washington Sundar,108.47,12.0,44.79,59,10,144.07,14.17,16.95,0.245,0.38,32,5,68.75,0.0,0.0,-0.302,0.305,0.548
Will Jacks,Will Jacks,185.29,31.5,78.31,39,6,248.72,48.5,43.59,0.437,0.31,60,5,165.0,49.5,20.0,-0.155,0.387,0.592
Yashasvi Jaiswal,Yashasvi Jaiswal,153.33,33.77,73.55,487,35,155.65,28.07,25.87,0.016,0.95,166,16,151.81,252.0,18.07,-0.012,0.896,0.028
Yudhvir Singh,Yudhvir Singh,88.89,2.67,75.0,4,3,50.0,1.0,0.0,0.0,0.0,5,1,120.0,6.0,20.0,0.0,0.0,0.0
